"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"az",1,34,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",63000,"Residential",328626,0,384650
"mo",1,26,1,"Democratic","European","English/Welsh","Democratic",19000,"Residential",212657,0,352530
"il",1,52,0,"Democratic","European","Irish","Democratic & Independent",194000,"Condominium",540896,0,345287
"al",1,26,0,"Republican","European","English/Welsh","Republican",65000,"Residential",213977,0,298691
"ga",1,29,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",60977,"Residential",91785,0,30478
"tx",0,63,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Apartment",NA,1,189032
"az",1,38,0,"Non-Partisan","European","Scots","Independent",202000,"Residential",295498,0,383647
"ma",1,63,0,"Democratic","European","English/Welsh","Democratic",149000,"Residential",921059,1,227015
"ca",1,66,0,"Non-Partisan","European","German","Democratic & Independent",172000,"Residential",1672964,1,389692
"oh",1,62,0,"Democratic","European","Irish","Democratic",38000,"Residential",156640,0,309510
"fl",1,42,0,"Republican","Other","Russian (omitting former Soviet States)","Republican",250000,"Apartment",699134,0,151161
"ca",1,19,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",33999,"Residential",167338,0,98862
"mt",1,19,1,"Non-Partisan","European","French","Independent",91891,"Apartment",193332,0,178064
"ca",1,34,0,"Democratic","European","Italian","Democratic",59000,"Apartment",63332,0,207766
"nj",1,37,1,"Democratic","European","Scots","Democratic",40757,"Apartment",224999,0,118083
"az",1,74,0,"Democratic","European","Italian","Democratic",NA,"Apartment",112500,1,200711
"ga",0,38,1,"Republican","European","English/Welsh","Republican",8000,"Apartment",93749,0,149310
"tn",1,80,1,"Republican","European","English/Welsh","Republican",42000,"Residential",361072,1,301097
"tn",1,76,0,"Republican","European","German","Republican",63000,"Residential",288261,0,303535
"tx",1,70,0,"Republican","European","Dutch (Netherlands)","Republican",87000,"Residential",168005,1,374276
"az",0,33,1,"Non-Partisan","","","Independent",68966,"Apartment",143242,0,199389
"ky",0,25,1,"Republican","European","French","Republican",59000,"Residential",442209,0,46297
"ca",1,70,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican & Independent",28000,"Residential",485977,0,391564
"ms",1,NA,0,"Non-Partisan","European","English/Welsh","Republican & Independent",60000,"Duplex",220887,0,162158
"fl",0,49,1,"Democratic","European","Italian","Democratic & Republican",250000,"Residential",1047811,0,286204
"az",1,78,0,"Registered Independent","European","Italian","Independent",31000,"Residential",298926,1,383502
"wa",1,58,1,"Republican","","","Republican",113000,"Residential",435888,0,409753
"ut",0,35,1,"American Independent","","","Independent",46000,"Duplex",563111,0,89963
"ca",0,28,0,"Non-Partisan","European","English/Welsh","Democratic & Republican & Independent",184000,"Apartment",795342,0,390591
"ga",1,19,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",88000,"Residential",355439,0,28511
"fl",0,38,1,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",43213,"Apartment",85681,0,152841
"ny",1,51,0,"Republican","European","Italian","Republican",185483,"Residential",875000,0,8629
"oh",1,35,1,"Non-Partisan","European","Irish","Democratic & Independent",114000,"Residential",313407,0,310437
"ny",1,53,1,"Non-Partisan","East and South Asian","Chinese","Democratic & Independent",310661,"Residential",1744504,0,239729
"ny",1,31,1,"Non-Partisan","","","Republican & Independent",126000,"Apartment",197499,0,124320
"tx",1,61,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",27577,"Apartment",97499,0,189192
"fl",1,22,1,"Republican","","","Republican",176000,"Residential",246628,0,288946
"fl",1,18,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",68161,"Unknown",195356,0,34685
"mn",1,35,0,"Democratic","European","German","Democratic",59317,"Unknown",123749,0,62074
"pa",1,47,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",41000,"Residential",90838,0,250974
"nj",1,26,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",58000,"Triplex",375000,0,118138
"va",1,19,1,"Democratic","","","Democratic",231000,"Residential",716814,0,262675
"va",1,43,0,"Democratic","European","English/Welsh","Democratic & Republican",79166,"Residential",315194,0,265752
"wi",0,NA,1,"Non-Partisan","European","Dutch (Netherlands)","Independent",58293,"Apartment",175548,0,173657
"ny",1,36,0,"Democratic","European","Irish","Democratic",250000,"Apartment",671984,1,121184
"tx",1,88,1,"Republican","European","English/Welsh","Republican",65999,"Residential",212500,0,79081
"tx",0,23,1,"Non-Partisan","European","English/Welsh","Independent",105775,"Residential",237147,0,83491
"ar",1,45,1,"Democratic","European","English/Welsh","Democratic & Independent",56000,"Residential",133843,0,75679
"az",0,54,0,"Democratic","European","English/Welsh","Democratic",45788,"Unknown",165178,0,92599
"fl",1,27,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",57120,"Apartment",259051,0,154655
"wv",1,46,0,"Republican","European","English/Welsh","Republican",86000,"Residential",237500,0,267705
"il",0,54,1,"Non-Partisan","European","Italian","Independent",94000,"Residential",312282,0,342325
"ca",1,78,1,"Republican","European","German","Republican",30000,"Residential",250888,1,405324
"ca",1,19,0,"Republican","","","Republican & Independent",227040,"Apartment",1377819,0,203514
"wa",0,66,0,"Democratic","European","French","Democratic",59000,"Apartment",NA,0,222272
"nm",1,85,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",87000,"Residential",133729,0,385243
"or",1,76,1,"Democratic","European","English/Welsh","Democratic",24000,"Residential",491038,1,407036
"ga",1,31,0,"Republican","","","Republican",97000,"Residential",325837,0,282781
"la",0,23,1,"Non-Partisan","European","Italian","Democratic & Republican & Independent",99000,"Residential",126412,0,74907
"nc",1,63,1,"Republican","European","English/Welsh","Republican & Independent",112000,"Residential",373946,0,271150
"id",1,34,1,"Democratic","European","German","Democratic",93395,"Residential",137500,0,379415
"nj",0,20,0,"Democratic","European","English/Welsh","Democratic",159000,"Duplex",188085,0,120475
"mi",1,62,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",54999,"Apartment",108522,0,168978
"ky",1,36,1,"Republican","European","English/Welsh","Republican",191000,"Residential",489157,0,45779
"fl",0,78,0,"Democratic","European","Italian","Democratic",46211,"Apartment",369999,0,154168
"pa",1,23,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",120000,"Residential",326141,0,256216
"ny",1,57,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",63124,"Apartment",429729,0,126478
"wa",1,81,0,"Democratic","European","German","Democratic",38000,"Residential",293259,1,412881
"wa",1,53,1,"Democratic","European","English/Welsh","Democratic",171499,"Apartment",597986,0,220762
"mo",1,39,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",42812,"Unknown",90155,0,69213
"az",0,36,0,"Non-Partisan","European","English/Welsh","Democratic & Republican & Independent",64999,"Residential",457997,0,92920
"al",1,56,0,"Republican","European","English/Welsh","Republican",48000,"Apartment",128958,0,158770
"ma",1,33,0,"Non-Partisan","European","English/Welsh","Independent",241000,"Residential",699760,0,226285
"va",0,47,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",88000,"Apartment",431766,0,141660
"tx",1,25,1,"Democratic","","","Democratic & Republican",179000,"Residential",253690,0,364954
"ga",1,33,0,"Republican","European","English/Welsh","Republican & Independent",66000,"Residential",158506,0,283276
"pa",1,77,0,"Democratic","European","German","Democratic",60000,"Residential",187878,1,252145
"ny",1,48,1,"Democratic","European","German","Democratic",217547,"Condominium",625000,1,239110
"md",0,67,1,"Democratic","European","Irish","Democratic & Republican & Independent",114000,"Residential",274876,0,260317
"md",0,31,0,"Democratic","European","Polish","Democratic & Republican",155000,"Residential",330065,0,17333
"ms",0,NA,0,"Non-Partisan","European","English/Welsh","Independent",12000,"Residential",58552,0,44403
"tx",1,73,1,"Republican","European","Irish","Republican",250000,"Residential",778753,1,365518
"mo",1,66,0,"Republican","European","English/Welsh","Republican",49000,"Residential",90117,0,351700
"or",0,20,0,"Non-Partisan","European","Irish","Democratic & Independent",114000,"Residential",235525,0,107562
"nj",1,24,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",23983,"Apartment",287499,0,119214
"nc",0,48,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",77000,"Apartment",247499,0,144718
"tx",1,49,0,"Democratic","East and South Asian","Korean","Democratic",145968,"Residential",381237,0,369299
"tn",1,48,0,"Democratic","European","English/Welsh","Democratic",87000,"Residential",170315,0,303435
"ny",1,41,1,"Democratic","European","Polish","Democratic",16000,"Residential",271510,0,245836
"sc",0,23,0,"Non-Partisan","European","English/Welsh","Independent",55516,"Unknown",157064,0,27603
"mi",1,37,1,"Non-Partisan","European","Dutch (Netherlands)","Independent",134000,"Residential",194048,1,328280
"ma",1,64,1,"Democratic","European","Italian","Democratic",123322,"Unknown",479494,0,818
"ny",0,38,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",112000,"Triplex",206625,0,132011
"ga",0,52,0,"Non-Partisan","East and South Asian","Korean","Independent",59614,"Apartment",120923,0,147527
"ca",1,29,1,"American Independent","European","English/Welsh","Democratic & Independent",97000,"Residential",774977,0,100491
"ma",1,42,0,"Democratic","European","English/Welsh","Democratic",94279,"Residential",625000,0,227250
"mi",1,73,0,"Democratic","European","Czech","Democratic",33000,"Residential",120776,0,326414
"pa",1,83,1,"Democratic","European","Irish","Democratic",91000,"Residential",268140,0,11425
"mo",1,40,0,"Republican","European","Swedish","Republican",85000,"Residential",344285,1,349919
"ca",1,67,1,"Republican","European","Italian","Republican & Independent",71000,"Residential",283958,0,405385
"nc",1,40,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",16000,"Triplex",79582,0,23257
"fl",1,49,0,"Republican","European","English/Welsh","Republican",71531,"Apartment",210908,0,157371
"pa",1,42,0,"Non-Partisan","","","Democratic & Independent",64000,"Residential",159429,0,256567
"ma",1,54,0,"Non-Partisan","East and South Asian","Indian/Hindu","Independent",131779,"Apartment",430472,0,112441
"ny",1,48,0,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",21000,"Duplex",733587,0,130107
"nj",1,47,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",25249,"Apartment",173749,0,118393
"or",1,62,1,"Democratic","","","Democratic",240000,"Residential",602809,1,407699
"mi",1,18,0,"Democratic","European","German","Democratic",192000,"Residential",490923,0,325577
"ct",0,47,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",120991,"Apartment",534925,0,117028
"wi",1,64,1,"Democratic","European","English/Welsh","Democratic",86000,"Residential",251343,1,60880
"co",1,44,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",75669,"Residential",181943,0,375421
"ms",0,74,1,"Republican","European","English/Welsh","Democratic & Republican & Independent",43257,"Residential",76606,0,305084
"in",1,73,0,"Democratic","European","German","Democratic",72000,"Residential",334268,0,321860
"ma",1,55,1,"Republican","European","English/Welsh","Republican & Independent",250000,"Residential",325000,0,224074
"tx",1,40,0,"Republican","European","English/Welsh","Republican",114000,"Residential",215539,0,374951
"ca",1,69,0,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",118000,"Residential",632572,0,400335
"fl",1,61,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",47655,"Apartment",12500,0,158558
"tx",1,27,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",72000,"Residential",175237,0,363021
"ri",1,67,1,"Non-Partisan","Other","Armenian","Democratic & Independent",100171,"Residential",212500,0,228100
"nv",1,61,1,"Non-Partisan","European","Polish","Democratic & Independent",249000,"Residential",375000,0,386372
"nc",1,52,0,"Non-Partisan","European","English/Welsh","Independent",123536,"Residential",363373,0,271897
"ca",1,38,0,"Republican","","","Republican",118000,"Residential",496333,0,404089
"nc",1,91,1,"Democratic","European","Hungarian","Democratic",53783,"Unknown",112500,0,272678
"ny",1,50,1,"Democratic","","","Democratic",111000,"Residential",176225,0,243537
"mi",1,74,1,"Non-Partisan","European","Swedish","Independent",54000,"Residential",193399,0,326261
"ny",0,55,1,"Republican","European","Austrian","Republican",118451,"Apartment",375000,0,130380
"la",1,23,0,"Republican","European","Dutch (Netherlands)","Democratic & Republican",36000,"Residential",149990,0,73664
"oh",1,69,0,"Democratic","European","Irish","Democratic",79000,"Apartment",237500,1,166368
"az",0,56,1,"Non-Partisan","European","Irish","Republican & Independent",72000,"Residential",378861,0,93018
"ny",0,42,1,"Republican","European","Polish","Democratic & Republican & Independent",215000,"Residential",750051,0,7686
"ca",1,30,1,"Democratic","Other","Russian (omitting former Soviet States)","Democratic",149122,"Residential",625000,1,392377
"oh",1,67,0,"Democratic","European","German","Democratic",15000,"Residential",27015,1,311107
"ca",1,63,1,"Republican","European","Swedish","Republican & Independent",124000,"Residential",1073460,0,395356
"il",1,90,0,"Republican","European","German","Republican",95877,"Residential",112500,1,347021
"ny",1,25,1,"Democratic","European","English/Welsh","Democratic",108000,"Residential",129109,0,10937
"tx",1,31,1,"Republican","","","Republican",107000,"Residential",NA,0,85971
"wi",1,80,0,"Republican","European","German","Republican",12000,"Residential",259941,0,335425
"ca",0,31,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",27000,"Apartment",254166,0,209603
"oh",1,37,1,"Non-Partisan","European","Lithuanian","Independent",55085,"Unknown",88082,0,49384
"ga",1,59,0,"Republican","European","Polish","Republican",61124,"Apartment",152499,1,147516
"ca",1,55,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",225000,"Residential",656872,1,390535
"ga",0,18,1,"Republican","European","Irish","Republican",177000,"Residential",380764,0,282309
"wi",1,58,1,"Republican","European","Finnish","Republican",77000,"Residential",94076,0,335200
"az",1,31,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",46792,"Unknown",103023,0,90997
"ky",1,80,0,"Republican","","","Republican",54000,"Residential",198589,1,307849
"ca",1,78,0,"Republican","European","English/Welsh","Republican",90000,"Condominium",625000,0,395510
"de",1,61,0,"Republican","European","German","Republican & Independent",70908,"Residential",296076,1,257265
"in",0,46,1,"Non-Partisan","European","English/Welsh","Independent",NA,"Apartment",NA,0,167322
"mo",1,73,0,"Republican","European","English/Welsh","Republican",46249,"Residential",99332,0,352145
"ga",1,19,0,"Non-Partisan","East and South Asian","Indian/Hindu","Democratic & Independent",180000,"Residential",357223,0,279504
"al",1,41,1,"Republican","European","Scots","Republican",69929,"Unknown",251612,0,39335
"md",0,71,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",58124,"Apartment",154166,0,139890
"tx",0,34,1,"Republican","European","English/Welsh","Republican",44000,"Residential",69497,0,363134
"nd",0,70,0,"Democratic","","","Democratic",14000,"Residential",90057,0,64052
"fl",0,21,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",33477,"Apartment",115908,0,155733
"mi",0,40,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",55000,"Duplex",49771,0,56277
"or",0,29,0,"Democratic","East and South Asian","Vietnamese","Democratic",65000,"Residential",332371,0,406594
"va",1,61,1,"Democratic","European","Scots","Democratic",182000,"Residential",137500,0,20447
"oh",1,50,0,"Democratic","","","Democratic",110000,"Residential",214109,0,311839
"fl",1,28,1,"Non-Partisan","Other","Native American (self reported)","Independent",161000,"Residential",371476,0,288051
"ca",1,30,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",79000,"Triplex",323076,0,202741
"ok",1,62,0,"Republican","European","German","Republican",143000,"Residential",150874,0,359681
"ut",1,35,0,"Republican","European","English/Welsh","Republican",203000,"Residential",350601,0,380604
"md",0,NA,0,"Non-Partisan","European","German","Republican & Independent",74000,"Residential",229287,0,261289
"de",1,65,0,"Republican","European","Finnish","Republican & Independent",87000,"Residential",317011,0,257113
"sc",1,57,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",18000,"Residential",60377,0,26012
"sc",1,72,0,"Republican","European","English/Welsh","Republican",125000,"Residential",628166,0,278037
"nc",1,21,0,"Democratic","European","English/Welsh","Democratic",NA,"Apartment",NA,0,145388
"az",1,21,1,"Non-Partisan","European","English/Welsh","Independent",91158,"Apartment",247499,0,199912
"ca",1,62,1,"Republican","","","Republican",115801,"Residential",381578,0,103228
"ia",1,44,0,"Republican","European","German","Republican",250000,"Residential",800854,0,330947
"nj",0,21,0,"Non-Partisan","European","English/Welsh","Independent",64349,"Unknown",165073,0,6224
"ks",1,55,1,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",104471,"Residential",220676,0,185002
"tx",1,39,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",204000,"Apartment",463424,0,194572
"ms",1,72,0,"Republican","European","English/Welsh","Republican",97000,"Residential",362363,0,304892
"tx",0,27,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",28946,"Apartment",50184,0,189035
"pa",1,73,0,"Republican","European","Irish","Democratic & Republican",21000,"Duplex",112500,0,249141
"fl",0,36,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",95651,"Residential",425000,0,36466
"fl",0,61,1,"Democratic","European","Danish","Democratic",98528,"Residential",162500,1,292690
"ia",1,30,0,"Non-Partisan","","","Democratic & Independent",73332,"Unknown",132737,0,58995
"ny",0,20,1,"Non-Partisan","East and South Asian","Korean","Independent",198000,"Residential",821873,0,240413
"tx",0,25,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",108000,"Residential",175328,0,85580
"tn",1,52,1,"Republican","European","English/Welsh","Republican & Independent",68266,"Unknown",163031,0,43074
"ca",1,66,1,"Non-Partisan","European","Swedish","Independent",123000,"Condominium",1128641,0,392889
"ca",1,94,1,"Democratic","European","German","Democratic",22000,"Mobil Home",88729,0,398516
"mi",0,29,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",28000,"Residential",81475,0,55244
"il",1,82,0,"Republican","European","English/Welsh","Republican",47000,"Residential",170537,1,346127
"ma",1,48,1,"Democratic","European","Norwegian","Democratic",92187,"Apartment",323912,0,111343
"tx",0,23,1,"Non-Partisan","European","English/Welsh","Independent",68181,"Unknown",180454,0,83504
"ma",1,64,0,"Non-Partisan","European","English/Welsh","Independent",218332,"Residential",1000000,1,226142
"ky",1,57,0,"Republican","European","Irish","Republican",137058,"Residential",321595,0,46477
"ny",0,39,0,"Non-Partisan","European","Scots","Democratic & Independent",12000,"Residential",284510,0,243204
"fl",0,38,0,"Republican","Likely African-American","African or Af-Am Self Reported","Republican",93000,"Apartment",146874,0,151564
"nc",1,51,1,"Democratic","European","English/Welsh","Democratic",117000,"Residential",273962,0,271904
"or",1,66,1,"Republican","European","English/Welsh","Republican",74249,"Residential",205555,0,106754
"sc",1,81,0,"Republican","European","Scots","Republican",18000,"Residential",145792,1,277795
"co",0,32,1,"Non-Partisan","European","German","Independent",92904,"Unknown",377499,0,88016
"mo",1,31,0,"Republican","European","English/Welsh","Republican",100490,"Residential",274457,1,69363
"ma",1,49,0,"Non-Partisan","European","Polish","Independent",191000,"Residential",508070,0,226665
"mi",1,59,1,"Non-Partisan","European","Irish","Independent",NA,"Unknown",NA,0,57627
"mi",1,73,0,"Democratic","European","English/Welsh","Democratic",143000,"Residential",370544,1,325490
"ca",0,28,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",64000,"Residential",423091,0,394354
"sc",1,54,0,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",90000,"Residential",212748,1,275779
"ks",1,85,0,"Republican","European","German","Republican",31000,"Residential",237500,1,353495
"ny",1,23,0,"Democratic","European","English/Welsh","Democratic",117000,"Apartment",219936,0,133025
"il",1,55,1,"Republican","European","Scots","Republican",59000,"Residential",95306,0,348125
"oh",1,19,1,"Non-Partisan","","","Republican & Independent",61000,"Duplex",141148,0,313901
"id",1,48,0,"Republican","European","English/Welsh","Republican",74000,"Residential",137499,0,89597
"md",1,66,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",62000,"Residential",357450,1,260676
"ca",1,21,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",59117,"Unknown",381578,0,100358
"tx",0,17,1,"Democratic","","","Democratic",215000,"Residential",759197,0,372967
"va",1,69,1,"Non-Partisan","European","Scots","Independent",69544,"Residential",134592,0,20530
"oh",1,21,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",78000,"Residential",737353,0,317633
"tx",1,23,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",52380,"Residential",155824,0,85752
"in",1,22,0,"Democratic","European","English/Welsh","Democratic & Independent",42999,"Triplex",62856,0,168591
"wi",1,66,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",148000,"Residential",679996,1,332405
"hi",1,NA,1,"Non-Partisan","European","English/Welsh","Independent",113000,"Residential",713116,0,106115
"sc",1,46,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",35000,"Residential",98606,1,275403
"ct",1,19,0,"Democratic","European","English/Welsh","Democratic",250000,"Residential",1032621,0,232909
"ca",1,34,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",192000,"Residential",700268,0,391250
"vt",0,40,0,"Republican","European","Scots","Republican",NA,"Unknown",NA,0,3347
"hi",1,43,0,"Republican","East and South Asian","Japanese","Republican",116000,"Residential",686446,0,405848
"il",1,55,0,"Non-Partisan","","","Independent",250000,"Residential",372930,0,342146
"ut",1,48,0,"Republican","European","German","Republican & Independent",146000,"Residential",483177,0,381226
"pa",1,69,0,"Republican","European","Irish","Republican",115000,"Apartment",346134,1,133895
"nj",1,64,1,"Non-Partisan","European","English/Welsh","Independent",13000,"Apartment",168191,0,120703
"ga",1,28,0,"Non-Partisan","European","Scots","Independent",147272,"Apartment",386428,0,148136
"pa",0,26,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",58213,"Residential",157180,0,255367
"fl",1,51,0,"Republican","European","English/Welsh","Republican & Independent",10000,"Residential",158552,0,294816
"pa",1,29,1,"Non-Partisan","European","English/Welsh","Independent",89654,"Unknown",175211,0,14263
"in",1,31,0,"Democratic","European","English/Welsh","Democratic",62073,"Residential",114188,0,53505
"fl",1,45,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",112000,"Residential",421624,0,34791
"pa",1,43,0,"Republican","European","German","Republican",118000,"Residential",427921,1,253621
"oh",1,52,1,"Democratic","European","English/Welsh","Democratic",97000,"Residential",254157,0,309511
"oh",1,20,0,"Non-Partisan","European","German","Independent",82000,"Residential",184403,0,312474
"ny",1,65,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",25000,"Residential",101586,0,10491
"pa",0,67,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",53437,"Unknown",206249,0,13507
"mn",1,70,0,"Non-Partisan","European","Polish","Independent",65000,"Residential",137500,1,339550
"ga",1,53,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",193000,"Apartment",361380,0,147857
"la",1,65,1,"Democratic","European","English/Welsh","Democratic",50000,"Residential",118455,0,356443
"nv",1,69,0,"Republican","European","English/Welsh","Republican",87000,"Residential",421638,0,386181
"ga",1,32,0,"Non-Partisan","European","Scots","Republican & Independent",49000,"Residential",135220,0,282177
"tx",1,82,1,"Republican","European","English/Welsh","Republican",32000,"Residential",211326,0,362450
"ct",1,75,1,"Republican","European","Irish","Republican & Independent",205587,"Residential",625000,1,232944
"ks",1,82,1,"Democratic","European","German","Democratic",22000,"Residential",62500,1,353453
"oh",0,19,0,"Non-Partisan","European","Scots","Independent",101861,"Unknown",373537,0,47964
"me",1,60,1,"Non-Partisan","European","Irish","Democratic & Independent",42000,"Triplex",203755,0,2934
"ny",1,58,0,"Republican","","","Republican & Independent",141000,"Residential",230862,1,246535
"tx",1,60,1,"Republican","European","English/Welsh","Republican",173000,"Residential",374185,0,360915
"wi",1,31,0,"Non-Partisan","European","French","Independent",76862,"Unknown",153999,0,60926
"ga",0,26,0,"Non-Partisan","European","English/Welsh","Independent",65138,"Apartment",128937,0,147676
"tn",1,66,1,"Republican","European","Scots","Republican",123000,"Residential",587826,1,303796
"oh",1,24,0,"Non-Partisan","European","English/Welsh","Republican & Independent",60000,"Residential",108783,0,314903
"tx",0,25,0,"Republican","European","Scots","Republican",36392,"Apartment",149374,0,189115
"pa",1,45,0,"Non-Partisan","European","Irish","Democratic & Independent",147313,"Residential",287500,0,248679
"nj",1,23,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",103000,"Residential",255313,0,233946
"ny",1,91,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",122916,"Unknown",316363,0,7468
"ok",1,31,0,"Republican","European","English/Welsh","Republican",83304,"Residential",237500,1,358504
"ny",0,28,0,"Non-Partisan","European","Irish","Democratic & Independent",115953,"Apartment",360948,0,125426
"oh",1,63,0,"Democratic","European","Irish","Democratic",88000,"Residential",133990,1,316937
"fl",1,23,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",38868,"Apartment",164422,0,155042
"mi",0,71,0,"Republican","European","French","Republican",54313,"Unknown",108983,0,56216
"fl",1,41,0,"Republican","European","German","Republican",61000,"Residential",154220,0,289136
"nc",1,18,1,"Republican","European","Irish","Republican",64000,"Apartment",228324,0,145210
"mo",1,30,1,"Republican","European","English/Welsh","Republican",106000,"Residential",162500,0,352000
"mi",1,40,0,"Non-Partisan","","","Independent",75000,"Residential",140728,0,324813
"az",1,59,1,"Democratic","European","German","Democratic & Republican & Independent",112000,"Residential",207497,0,382056
"md",1,25,1,"Democratic","European","Lithuanian","Democratic",147000,"Apartment",381557,0,139318
"md",0,71,0,"Republican","East and South Asian","Indian/Hindu","Republican & Independent",170990,"Residential",656797,0,260054
"il",1,56,1,"Non-Partisan","European","German","Independent",212000,"Residential",420665,1,343961
"wa",1,53,1,"Democratic","European","English/Welsh","Democratic",78985,"Residential",287500,0,410421
"ca",1,18,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",99088,"Apartment",541261,0,207289
"nv",1,69,0,"Non-Partisan","European","Scots","Independent",81685,"Apartment",198749,0,202390
"ms",0,39,1,"Non-Partisan","European","English/Welsh","Independent",93213,"Apartment",254761,0,162283
"ca",1,57,0,"Democratic","European","Italian","Democratic",82000,"Residential",370861,0,394837
"ny",0,36,1,"Democratic","Other","Russian (omitting former Soviet States)","Democratic",93518,"Apartment",187500,0,121798
"hi",1,66,1,"Republican","East and South Asian","Japanese","Republican",250000,"Apartment",850431,1,217501
"pa",1,61,1,"Democratic","European","English/Welsh","Democratic",73124,"Apartment",112500,0,133423
"va",0,31,0,"Non-Partisan","European","English/Welsh","Independent",109889,"Apartment",311376,0,140980
"wi",1,NA,1,"Democratic","European","English/Welsh","Democratic",111841,"Unknown",292121,0,60430
"ct",1,70,1,"Non-Partisan","European","German","Independent",72000,"Apartment",344465,0,116360
"nj",1,29,1,"Democratic","European","English/Welsh","Democratic",21000,"Duplex",586114,1,117525
"ca",1,63,0,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",194000,"Residential",939014,0,398909
"mi",0,66,1,"Non-Partisan","European","Polish","Independent",145689,"Apartment",187500,1,170504
"az",1,76,0,"Republican","European","Austrian","Republican",118000,"Residential",316129,0,382008
"wa",1,81,0,"Democratic","European","German","Democratic",98386,"Residential",287500,1,409963
"ga",1,37,1,"Non-Partisan","Other","Arab","Independent",86335,"Apartment",246073,0,146787
"ca",1,40,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",33749,"Apartment",143181,0,212392
